,feature,proba,topic_num,cv_index,cv_index_1
1,alignment,0.026515877,0,['vi62'],vi62
2,english,0.023874518,0,['vi491'],vi491
5,french,0.018329376,0,['vi493'],vi493
25,lexicon,0.004601558,0,['vi823'],vi823
30,algorithm,0.003871711,0,['vi47'],vi47
39,spanish,0.0032494417,0,['vi1409'],vi1409
42,information,0.003215756,0,"['vi55', 'vi1145']",vi55
45,recall,0.003079363,0,['vi1236'],vi1236
56,model,0.0028137292,0,"['vi941', 'vi1309']",vi941
57,sentence,0.0028059809,0,['vi1333'],vi1333
72,precision,0.0023713608,0,['vi1165'],vi1165
81,ibm_models,0.0021226443,0,['vi699'],vi699
84,adjective,0.002076884,0,"['vi27', 'vi1077']",vi27
96,language,0.0018908912,0,['vi43'],vi43
100,sentence,0.018461138,1,['vi1333'],vi1333
103,grammar,0.013176143,1,"['vi271', 'vi623', 'vi632']",vi271
106,noun_phrase,0.010325631,1,['vi1024'],vi1024
107,verb,0.00996363,1,['vi1084'],vi1084
111,noun,0.00814443,1,['vi1081'],vi1081
119,verb_phrase,0.0063899904,1,['vi1620'],vi1620
120,parsing,0.006169709,1,['vi1067'],vi1067
121,prepositional_phrase,0.006123353,1,['vi1176'],vi1176
136,determiner,0.003782323,1,['vi402'],vi402
137,algorithm,0.0037035565,1,['vi47'],vi47
150,parse_tree,0.0031751634,1,['vi1065'],vi1065
163,language,0.0026673453,1,['vi43'],vi43
171,interpretation,0.0023716874,1,['vi740'],vi740
177,information,0.0022782935,1,"['vi55', 'vi1145']",vi55
183,time,0.0021524888,1,['vi136'],vi136
186,nouns,0.0020663498,1,['vi1026'],vi1026
198,context_free_grammar,0.0018492682,1,['vi224'],vi224
199,english,0.0018454929,1,['vi491'],vi491
206,query,0.006885153,2,['vi1217'],vi1217
219,document_frequency,0.0040750233,2,['vi451'],vi451
223,term_frequency,0.0035750687,2,['vi1520'],vi1520
231,meaning,0.0032958074,2,['vi74'],vi74
244,hyponym,0.0030789361,2,['vi697'],vi697
249,normalization,0.0029519878,2,['vi1018'],vi1018
262,model,0.0025843603,2,"['vi941', 'vi1309']",vi941
272,frequency,0.002242923,2,['vi580'],vi580
280,learning,0.0020373124,2,['vi366'],vi366
282,synonyms,0.0019847602,2,['vi1483'],vi1483
284,hypernym,0.0019278232,2,['vi693'],vi693
297,prepositional_phrase,0.0017839256,2,['vi1176'],vi1176
303,query,9.2847506e-05,3,['vi1217'],vi1217
314,span,9.2418995e-05,3,['vi1408'],vi1408
325,search_engine,9.2272145e-05,3,['vi1326'],vi1326
343,sentence,9.218568e-05,3,['vi1333'],vi1333
350,trec,9.2169656e-05,3,['vi1570'],vi1570
356,time,9.2155395e-05,3,['vi136'],vi136
358,corpus,9.214861e-05,3,"['vi118', 'vi343']",vi118
363,distance,9.214456e-05,3,"['vi139', 'vi444']",vi139
372,named_entity,9.2113856e-05,3,['vi993'],vi993
397,logistic_regression,9.207363e-05,3,['vi854'],vi854
413,model,0.0038256252,4,"['vi941', 'vi1309']",vi941
420,algorithm,0.0023161236,4,['vi47'],vi47
436,english,0.0017487056,4,['vi491'],vi491
439,wordnet,0.0017121685,4,['vi1670'],vi1670
461,edit_distance,0.0012671213,4,['vi465'],vi465
469,corpus,0.0011611823,4,"['vi118', 'vi343']",vi118
473,spelling_correction,0.0011386304,4,['vi1421'],vi1421
475,language,0.0011311547,4,['vi43'],vi43
478,language_model,0.0010989873,4,['vi796'],vi796
482,brown,0.0010215057,4,['vi344'],vi344
484,clustering,0.0010167967,4,['vi251'],vi251
491,relations,0.00092339615,4,['vi264'],vi264
505,sentence,0.0073059127,5,['vi1333'],vi1333
506,information,0.007305862,5,"['vi55', 'vi1145']",vi55
512,relations,0.0062956545,5,['vi264'],vi264
522,relation,0.0049833576,5,"['vi124', 'vi469']",vi124
528,precision,0.004562585,5,['vi1165'],vi1165
535,query,0.0039516715,5,['vi1217'],vi1217
538,recall,0.0037542805,5,['vi1236'],vi1236
552,question_answering,0.003259094,5,['vi1221'],vi1221
560,relation_extraction,0.002964504,5,"['vi291', 'vi1261']",vi291
564,sentiment,0.0028853286,5,['vi1367'],vi1367
575,evaluation,0.0024979801,5,"['vi515', 'vi1222', 'vi1339']",vi515
601,state,0.015800836,6,['vi1429'],vi1429
615,sentence,0.007269321,6,['vi1333'],vi1333
620,algorithm,0.0067123226,6,['vi47'],vi47
622,vector,0.0065834,6,['vi1611'],vi1611
633,distance,0.0053274045,6,"['vi139', 'vi444']",vi139
651,model,0.003997891,6,"['vi941', 'vi1309']",vi941
655,dynamic_programming,0.003787665,6,['vi461'],vi461
677,history,0.00284661,6,['vi896'],vi896
678,feature_vectors,0.002816235,6,['vi544'],vi544
681,parse_tree,0.0027514389,6,['vi1065'],vi1065
684,tagging,0.002697954,6,['vi1599'],vi1599
690,part_speech,0.0025285406,6,"['vi1074', 'vi1214']",vi1074
692,time,0.0024269803,6,['vi136'],vi136
722,bigram,0.00520425,7,['vi173'],vi173
725,counts,0.004851727,7,['vi360'],vi360
729,cluster,0.004446274,7,['vi250'],vi250
734,model,0.0041703675,7,"['vi941', 'vi1309']",vi941
738,corpus,0.003941556,7,"['vi118', 'vi343']",vi118
741,likelihood,0.003766369,7,['vi825'],vi825
742,training_set,0.0036455507,7,"['vi985', 'vi1556']",vi985
748,sentence,0.0033025485,7,['vi1333'],vi1333
753,algorithm,0.003153974,7,['vi47'],vi47
764,smoothing,0.0027423531,7,"['vi133', 'vi982', 'vi1395']",vi133
771,naive_bayes,0.0025942714,7,['vi987'],vi987
776,perplexity,0.002426336,7,"['vi502', 'vi1115']",vi502
777,time,0.002357421,7,['vi136'],vi136
779,trigram,0.002292553,7,['vi1575'],vi1575
787,chinese,0.0020997054,7,['vi231'],vi231
791,language_model,0.0019987458,7,['vi796'],vi796
798,test_set,0.0018986282,7,"['vi984', 'vi1527']",vi984
807,verb,0.007850199,8,['vi1084'],vi1084
808,noun,0.007417109,8,['vi1081'],vi1081
809,sentence,0.0065709325,8,['vi1333'],vi1333
810,part_speech,0.0062617166,8,"['vi1074', 'vi1214']",vi1074
813,english,0.0059884335,8,['vi491'],vi491
819,language,0.004802726,8,['vi43'],vi43
827,adjective,0.0038050648,8,"['vi27', 'vi1077']",vi27
835,meaning,0.0032763772,8,['vi74'],vi74
838,languages,0.002901024,8,['vi912'],vi912
841,parts_speech,0.0028100745,8,['vi1100'],vi1100
842,information,0.0027813513,8,"['vi55', 'vi1145']",vi55
847,processing,0.0026958345,8,['vi1063'],vi1063
849,time,0.0025175998,8,['vi136'],vi136
850,tagging,0.002478384,8,['vi1599'],vi1599
852,nouns,0.0023988304,8,['vi1026'],vi1026
868,plural,0.002023092,8,['vi1143'],vi1143
871,adjectives,0.0019855709,8,['vi29'],vi29
887,japanese,0.0016795426,8,['vi763'],vi763
894,verbs,0.0015509665,8,['vi1622'],vi1622
902,query,0.014318981,9,['vi1217'],vi1217
904,similarity,0.012144476,9,['vi1387'],vi1387
909,vector,0.007247534,9,['vi1611'],vi1611
912,information_retrieval,0.0063783033,9,['vi724'],vi724
916,information,0.0059630987,9,"['vi55', 'vi1145']",vi55
923,cosine,0.0048583644,9,"['vi355', 'vi445']",vi355
926,postings,0.004234969,9,['vi1154'],vi1154
958,vector_space,0.0025590833,9,['vi1614'],vi1614
966,counts,0.0024215453,9,['vi360'],vi360
971,precision,0.0022605238,9,['vi1165'],vi1165
988,search_engine,0.0020007242,9,['vi1326'],vi1326
989,cosine_similarity,0.0019890158,9,['vi479'],vi479
1001,language,0.017050236,10,['vi43'],vi43
1007,languages,0.007874607,10,['vi912'],vi912
1013,processing,0.0060825027,10,['vi1063'],vi1063
1016,english,0.00572159,10,['vi491'],vi491
1021,sentence,0.0049315616,10,['vi1333'],vi1333
1032,query,0.003471945,10,['vi1217'],vi1217
1041,ambiguity,0.0031005158,10,"['vi70', 'vi1068']",vi70
1053,time,0.0026603932,10,['vi136'],vi136
1068,machine_translation,0.0021415465,10,['vi878'],vi878
1078,verb,0.0019970732,10,['vi1084'],vi1084
1081,search_engine,0.0019544573,10,['vi1326'],vi1326
1082,interpretation,0.0019538917,10,['vi740'],vi740
1089,information,0.0017600263,10,"['vi55', 'vi1145']",vi55
1093,dialogue,0.001730469,10,['vi407'],vi407
1094,corpus,0.0017156705,10,"['vi118', 'vi343']",vi118
1104,model,0.00921309,11,"['vi941', 'vi1309']",vi941
1125,sentence,0.004577332,11,['vi1333'],vi1333
1144,likelihood,0.003319144,11,['vi825'],vi825
1147,time,0.003248187,11,['vi136'],vi136
1162,maximum_entropy,0.002502073,11,['vi901'],vi901
1167,algorithm,0.0024150268,11,['vi47'],vi47
1193,counts,0.0020199455,11,['vi360'],vi360
1200,sentence,0.022659278,12,['vi1333'],vi1333
1204,model,0.010686926,12,"['vi941', 'vi1309']",vi941
1209,english,0.007790887,12,['vi491'],vi491
1215,tags,0.0059385896,12,['vi1495'],vi1495
1230,language,0.0041911905,12,['vi43'],vi43
1234,french,0.0040469817,12,['vi493'],vi493
1243,information,0.0034147182,12,"['vi55', 'vi1145']",vi55
1257,tagging,0.0026353025,12,['vi1599'],vi1599
1275,trigram,0.0021394407,12,['vi1575'],vi1575
1293,hidden,0.0018619492,12,['vi667'],vi667
1300,nucleus,0.016669596,13,['vi1028'],vi1028
1302,satellite,0.012450211,13,['vi1314'],vi1314
1304,relation,0.009229043,13,"['vi124', 'vi469']",vi124
1319,relations,0.0043690847,13,['vi264'],vi264
1324,coherence,0.0037528765,13,['vi262'],vi262
1325,rhetorical_structure,0.0036211868,13,['vi1287'],vi1287
1330,utterance,0.0033889576,13,['vi1602'],vi1602
1351,competition,0.0023693289,13,['vi150'],vi150
1360,cluster,0.002165059,13,['vi250'],vi250
1365,simplifying_assumptions,0.0019520298,13,"['vi679', 'vi989']",vi679
1371,discourse_analysis,0.0018879051,13,['vi1563'],vi1563
